id	C4	C13	C37	C50	C59	C75	C78	C86	C118	C123	C135	C160	C176	C190	C215	C245	C258	C259	C261	C262	C278	C289	C291	C321	C324	C338	C339	C341	C347	C402	C408	C436	C472	C475	C476	C481	C504	C1167	C1248	C1262	C1286	C1292	C1345	C1349	C1358	C1390	C1391	C1510	C1541	C1548	C1549	C1552	C1564	C1669	C1712	C1765	C1796	C1970	C1985	C2048	C2124	C2309	C2343	C2448	C2449	C2646	C2947	C3082	C3403	C3450	C3473	C3679	C3854	C3879	C3884	C4073	C4103	C4131	C4136
1307	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.007	0.028	0.001	0.000	0.000	0.000	0.000	0.090	0.000	0.000	0.000	0.000	0.515	0.000	0.000	0.000	0.000	0.017	0.300	0.021	0.273	0.000	0.000	0.000	0.000	0.293	0.001	0.000	0.002	0.002	0.782	0.000	0.000	0.000	0.005	0.000	0.000	0.237	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.192	0.077	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.068	0.002	0.150	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.012
1308	0.000	0.000	0.003	0.081	0.000	0.000	0.000	0.006	0.025	0.001	0.008	0.000	0.969	0.003	0.033	0.000	0.000	0.927	0.020	0.000	0.000	0.000	0.000	0.949	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.004	0.002	0.000	0.045	0.049	0.000	0.006	0.431	0.000	0.964	0.001	0.000	0.000	0.000	0.000	0.972	0.000	0.000	0.938	0.332	0.001	0.000	0.000	0.000	0.110	0.987	0.000	0.000	0.032	0.000	0.000	0.144	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.887	0.938	0.001	0.000	0.007
1309	0.000	0.818	0.000	0.114	0.000	0.095	0.044	0.008	0.043	0.002	0.000	0.186	0.000	0.000	0.000	0.003	0.000	0.000	0.013	0.015	0.999	0.001	0.046	0.001	0.052	0.003	0.001	0.001	0.814	0.000	0.000	0.025	0.001	0.305	0.000	0.009	0.000	0.070	0.000	0.001	0.000	0.003	0.077	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.013	0.000	0.000	0.003	0.000	0.003	0.000	0.000	0.032	0.001	0.101	0.026	0.209	0.000	0.002	0.001	0.000	0.000	0.000	0.000	0.027	0.007	0.000	0.001	0.897	0.045
1310	0.000	0.000	0.018	0.018	0.009	0.000	0.000	0.010	0.019	0.005	0.082	0.000	0.090	0.559	0.186	0.000	0.000	0.057	0.053	0.000	0.000	0.000	0.000	0.102	0.142	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.011	0.000	0.019	0.006	0.000	0.071	0.037	0.000	0.167	0.039	0.000	0.159	0.002	0.009	0.003	0.004	0.001	0.061	0.000	0.000	0.055	0.098	0.010	0.001	0.000	0.005	0.002	0.051	0.001	0.000	0.109	0.000	0.000	0.079	0.000	0.000	0.006	0.000	0.021	0.004	0.001	0.000	0.396	0.016	0.125	0.000	0.015
1311	0.000	0.000	0.000	0.089	0.000	0.000	0.000	0.023	0.019	0.001	0.000	0.000	0.000	0.001	0.365	0.000	0.000	0.003	0.001	0.078	0.000	0.000	0.000	0.000	0.202	0.010	0.017	0.107	0.000	0.000	0.000	0.000	0.126	0.000	0.000	0.004	0.001	0.011	0.000	0.000	0.000	0.072	0.000	0.000	0.051	0.000	0.000	0.000	0.147	0.003	0.000	0.000	0.004	0.121	0.150	0.192	0.000	0.000	0.000	0.004	0.025	0.000	0.000	0.000	0.000	0.042	0.000	0.052	0.000	0.000	0.000	0.000	0.180	0.000	0.020	0.012	0.000	0.000	0.008
1312	0.000	0.000	0.003	0.020	0.000	0.000	0.000	0.002	0.774	0.004	0.011	0.000	0.178	0.002	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.716	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.003	0.003	0.000	0.002	0.007	0.000	0.008	0.000	0.000	0.309	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.010
1313	0.000	0.000	0.000	0.032	0.000	0.000	0.000	0.014	0.021	0.002	0.000	0.000	0.000	0.006	0.003	0.000	0.000	0.008	0.002	0.005	0.000	0.000	0.000	0.000	0.218	0.003	0.001	0.004	0.000	0.000	0.000	0.000	0.029	0.000	0.000	0.010	0.005	0.313	0.000	0.000	0.000	0.364	0.000	0.002	0.021	0.000	0.000	0.000	0.001	0.001	0.015	0.000	0.003	0.233	0.023	0.001	0.000	0.000	0.020	0.000	0.001	0.000	0.009	0.000	0.000	0.077	0.002	0.001	0.001	0.000	0.000	0.002	0.001	0.000	0.008	0.000	0.011	0.001	0.015
1314	0.000	0.000	0.000	0.024	0.000	0.000	0.000	0.012	0.056	0.001	0.000	0.000	0.001	0.002	0.022	0.000	0.000	0.093	0.002	0.049	0.000	0.000	0.000	0.001	0.720	0.045	0.015	0.036	0.000	0.000	0.000	0.000	0.310	0.001	0.000	0.008	0.031	0.209	0.000	0.000	0.000	0.598	0.000	0.002	0.274	0.000	0.000	0.000	0.000	0.021	0.026	0.000	0.009	0.482	0.153	0.006	0.000	0.000	0.007	0.001	0.001	0.000	0.001	0.000	0.000	0.018	0.002	0.007	0.001	0.000	0.000	0.000	0.004	0.000	0.004	0.001	0.001	0.000	0.011
1315	0.000	0.000	0.000	0.071	0.000	0.000	0.000	0.012	0.011	0.001	0.000	0.000	0.000	0.000	0.065	0.000	0.000	0.000	0.001	0.053	0.000	0.000	0.000	0.000	0.004	0.018	0.013	0.041	0.000	0.000	0.000	0.000	0.494	0.000	0.000	0.002	0.001	0.656	0.000	0.000	0.000	0.105	0.000	0.000	0.425	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.001	0.300	0.109	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.072	0.001	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.001	0.015
1318	0.000	0.000	0.000	0.021	0.000	0.000	0.000	0.002	0.054	0.002	0.001	0.000	0.001	0.001	0.000	0.000	0.000	0.002	0.000	0.449	0.000	0.000	0.000	0.000	0.126	0.001	0.396	0.301	0.000	0.000	0.000	0.000	0.002	0.002	0.000	0.003	0.650	0.085	0.000	0.000	0.001	0.018	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.036	0.001	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.007	0.884	0.002	0.001	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.008
1319	0.000	0.000	0.000	0.039	0.000	0.000	0.000	0.009	0.009	0.002	0.000	0.000	0.000	0.000	0.090	0.000	0.000	0.000	0.000	0.195	0.000	0.000	0.000	0.000	0.855	0.052	0.048	0.254	0.000	0.000	0.000	0.000	0.103	0.001	0.000	0.003	0.022	0.106	0.000	0.000	0.000	0.004	0.000	0.000	0.015	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.051	0.068	0.008	0.000	0.000	0.276	0.000	0.004	0.000	0.000	0.000	0.000	0.237	0.028	0.187	0.000	0.000	0.000	0.000	0.010	0.000	0.002	0.000	0.000	0.000	0.007
1320	0.000	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.989	0.000	0.000	0.000	0.000	0.002	0.003	0.544	0.924	0.000	0.000	0.000	0.000	0.023	0.001	0.000	0.000	0.298	0.011	0.000	0.000	0.000	0.003	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.011	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.996	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003
1321	0.000	0.000	0.027	0.038	0.015	0.000	0.000	0.013	0.018	0.004	0.010	0.000	0.554	0.900	0.017	0.000	0.000	0.960	0.590	0.000	0.000	0.000	0.000	0.476	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.000	0.034	0.002	0.000	0.056	0.025	0.000	0.007	0.669	0.000	0.549	0.014	0.020	0.003	0.009	0.000	0.974	0.000	0.000	0.926	0.627	0.004	0.001	0.000	0.007	0.015	0.990	0.000	0.000	0.502	0.000	0.000	0.176	0.000	0.000	0.002	0.000	0.016	0.004	0.000	0.000	0.572	0.977	0.083	0.000	0.010
1323	0.000	0.000	0.867	0.068	0.799	0.000	0.000	0.024	0.045	0.005	0.975	0.000	0.002	0.064	0.010	0.000	0.000	0.050	0.913	0.002	0.000	0.000	0.000	0.003	0.974	0.000	0.000	0.002	0.000	0.000	0.000	0.000	0.110	0.001	0.852	0.016	0.000	0.018	0.001	0.000	0.985	0.474	0.000	0.001	0.170	0.807	0.006	0.000	0.000	0.004	0.014	0.000	0.001	0.609	0.013	0.000	0.000	0.002	0.829	0.000	0.000	0.000	0.001	0.000	0.000	0.075	0.000	0.000	0.005	0.000	0.812	0.003	0.000	0.000	0.005	0.000	0.074	0.000	0.010
1324	0.000	0.000	0.032	0.025	0.001	0.000	0.000	0.022	0.148	0.119	0.109	0.000	0.005	0.753	0.000	0.000	0.000	0.000	0.012	0.000	0.000	0.000	0.000	0.144	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002	0.000	0.003	0.030	0.000	0.011	0.001	0.000	0.193	0.000	0.000	0.002	0.002	0.003	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.015	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006	0.000	0.000	0.001	0.000	0.000	0.056	0.000	0.000	0.000	0.000	0.000	0.011	0.000	0.296	0.000	0.049
1326	0.000	0.000	0.000	0.016	0.000	0.000	0.000	0.001	0.046	0.000	0.000	0.000	0.001	0.000	0.001	0.000	0.000	0.000	0.000	0.717	0.000	0.000	0.000	0.001	0.237	0.271	0.020	0.438	0.000	0.000	0.000	0.000	0.444	0.000	0.000	0.002	0.001	0.002	0.000	0.000	0.000	0.012	0.000	0.000	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.056	0.208	0.000	0.000	0.000	0.025	0.000	0.000	0.000	0.000	0.000	0.000	0.008	0.002	0.682	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.008
1327	0.000	0.000	0.015	0.020	0.009	0.000	0.000	0.021	0.015	0.030	0.017	0.000	0.224	0.567	0.000	0.000	0.000	0.003	0.150	0.000	0.000	0.000	0.000	0.120	0.046	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.001	0.006	0.005	0.000	0.319	0.021	0.000	0.030	0.004	0.000	0.328	0.006	0.005	0.894	0.010	0.000	0.001	0.001	0.000	0.001	0.049	0.004	0.001	0.000	0.032	0.020	0.000	0.001	0.000	0.253	0.000	0.000	0.092	0.000	0.000	0.026	0.000	0.007	0.133	0.001	0.000	0.009	0.000	0.425	0.000	0.018
1328	0.000	0.000	0.000	0.067	0.000	0.000	0.000	0.130	0.024	0.006	0.000	0.000	0.000	0.000	0.034	0.000	0.000	0.004	0.001	0.125	0.000	0.000	0.000	0.000	0.042	0.041	0.024	0.067	0.000	0.000	0.000	0.000	0.448	0.000	0.000	0.047	0.055	0.533	0.000	0.000	0.000	0.064	0.000	0.000	0.459	0.000	0.000	0.000	0.000	0.007	0.000	0.000	0.007	0.087	0.077	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.036	0.001	0.041	0.002	0.000	0.000	0.000	0.000	0.000	0.053	0.000	0.000	0.001	0.026
1329	0.000	0.000	0.397	0.006	0.005	0.000	0.000	0.001	0.020	0.001	0.034	0.000	0.005	0.780	0.000	0.000	0.000	0.000	0.157	0.000	0.000	0.000	0.000	0.029	0.006	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.018	0.001	0.000	0.005	0.000	0.000	0.014	0.000	0.000	0.003	0.000	0.017	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.004	0.000	0.000	0.001	0.000	0.000	0.001	0.000	0.003	0.000	0.000	0.000	0.001	0.000	0.020	0.000	0.008
