id	cid
2033	91854701
3798	69905041
2181	117393437
2620	22165025
1987	13220194
4204	11379402
2674	89353847
3506	14991060
1746	174003
4209	3537454
3871	54387319
3830	78358462
1077	102272379
1849	31242
1327	20724211
2353	138269189
507	23887
3127	101921587
386	10256987
3814	117696555
4303	23131597
1831	57853576
4561	15736681
2283	88517665
3899	97783
1468	88115326
3401	10390778
4725	11284232
3969	132566266
1117	2266
1417	59816798
1826	57254222
2726	13935238
2484	89318782
4367	11391580
2679	42604344
3100	11442475
2543	123425407
1926	13886267
568	125
2671	10806920
2073	87977127
4205	134960823
3511	102064047
3707	17777264
2449	87082895
2748	12561658
2998	10436787
2608	6324894
372	19
1088	101938890
1605	85951428
3274	16091686
3681	22705279
1535	132526846
3623	102316627
2404	13667928
1657	98810
767	102164139
3923	91856398
522	44130950
4186	61200
4036	44576599
4352	136815092
4499	134215370
2903	21630837
1192	134310020
965	69122434
2530	10715056
322	45359565
1758	132577017
1267	10029041
1398	18369036
2797	16044828
3947	6325759
3478	88188143
2382	10640866
1494	101937519
1280	45783038
1240	130020481
3522	89150877
1329	11768740
3816	134558054
3613	134215370
77	137413033
1369	5318188
4357	12499361
3383	101
4855	139593630
2640	15612565
3624	68875034
3399	88263113
3637	11249081
2155	101962988
3714	59483290
3560	519541
1264	71127239
188	892
3360	14135963
1483	6325759
207	5282999
3644	138705704
1360	138506198
3520	66265932
418	68064545
2225	57037372
3914	9884033
2701	102383773
3096	15560475
3688	101370113
1898	2841162
1235	130464246
250	57034926
598	54382488
2992	57429265
4322	23444027
1215	22867788
1399	130006104
2794	18834
2710	22404012
3109	135354223
2873	117798031
3335	102004053
3532	89630266
1943	10399584
2300	58978905
3618	92825
2098	21412049
1161	13496316
3286	90300325
3832	102375327
2375	138279305
1615	102134762
4174	129633623
564	309218
406	5312941
651	129632118
841	89318782
723	67039
2235	69570331
3353	10264763
4173	5283001
4390	59648930
4316	130250444
4583	57772120
3561	130360373
3543	71351215
3645	57281811
2202	11424257
685	14995207
649	131836660
1613	6919
4179	458186
1948	54093559
3168	70500204
1547	130035434
2325	10960212
1919	23469781
2345	137394835
979	101974192
3509	87148626
3916	14953575
2656	59694817
2692	529894
4694	91845454
2646	117097833
1868	445905
1477	317609
1556	91234545
3826	54114556
801	558882
1442	656446
529	75787
1877	10962720
1318	71618843
4557	101996850
3574	21770882
2619	102052099
2420	121242130
3679	129714708
1588	160471
2156	70914602
4296	87502874
4712	11042776
3654	9851488
2750	136218126
2659	70530185
2206	131751198
4324	134295427
501	101096924
1341	11621571
4407	87184549
4269	89997121
181	10459
4091	87774750
591	133562194
438	13470564
3897	101862453
1659	102422435
714	5320285
1147	89026768
60	10458
2106	35822
3692	87654263
2918	135966491
4813	126748984
1458	118247454
2938	59848187
4820	90440243
2306	66803753
421	44815853
1497	102150183
966	45359564
3834	69538042
4082	87746091
4649	44257808
221	59422698
3649	123260476
2044	60145546
4319	12289571
3249	107114
3123	5166118
3405	10349429
3875	101863446
4259	57596284
1227	131300057
2217	88055209
3357	71229327
