id	cid	canonical_smiles	isomeric_smiles
938	89685558	"C1=CC(=CC=C1CCC(=O)NC2=CN(C(=O)N=C2N)C3C(C(C(O3)COP(=O)(O)O)O)O)O"	"C1=CC(=CC=C1CCC(=O)NC2=CN(C(=O)N=C2N)[C@H]3C(C([C@H](O3)COP(=O)(O)O)O)O)O"
936	91095206	"CC1=C(C2=C(C(=CC(=C2)O)OC)C(=O)O1)CO"	"CC1=C(C2=C(C(=CC(=C2)O)OC)C(=O)O1)CO"
934	94282	"CCCCCCCC=CC(=O)O"	"CCCCCCCC=CC(=O)O"
933	10848804	"COC(=O)CCCCC(=O)CCCCC(=O)OC"	"COC(=O)CCCCC(=O)CCCCC(=O)OC"
93	20607152	"C1=COC2=CC3=C(C=C21)C=C(C(=O)O3)COC4C(C(C(C(O4)CO)O)O)O"	"C1=COC2=CC3=C(C=C21)C=C(C(=O)O3)COC4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O"
92	79362	"CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)O"	"CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)O"
927	102023794	"CC1=C(C2=CC(=C1O)C(C3=CC(=C(C(=C3O)C)O)C(C4=C(C(=C(C(=C4)C(C5=C(C(=C(C(=C5)C2O)O)C)O)O)O)C)O)O)O)O"	"CC1=C(C2=CC(=C1O)C(C3=CC(=C(C(=C3O)C)O)C(C4=C(C(=C(C(=C4)C(C5=C(C(=C(C(=C5)C2O)O)C)O)O)O)C)O)O)O)O"
924	71404758	"CCOP(=O)(C(=C)P(=O)(OCC)OCC)[O-]"	"CCOP(=O)(C(=C)P(=O)(OCC)OCC)[O-]"
922	10787	"C1=CC(=C(C=C1O)O)O"	"C1=CC(=C(C=C1O)O)O"
920	12306951	"C1(C(C(OC1C(=O)O)O)O)O"	"[C@H]1([C@H](C(O[C@@H]1C(=O)O)O)O)O"
919	54578037	"CC1(CC(C2C1C(OC(C2)OC)OC3C(C(C(C(O3)CO)O)O)O)O)O"	"C[C@@]1(C[C@H](C2C1[C@@H](O[C@H](C2)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O"
916	121445406	"CCC(C(C(C(C(=O)O)O)O)OC1C(C(C(C(O1)CO)O)O)O)O"	"CC[C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)O"
913	20569534	"CC(C(=O)O)OC(C(C(=O)O)OC(C)C(=O)O)C(=O)O"	"CC(C(=O)O)OC(C(C(=O)O)OC(C)C(=O)O)C(=O)O"
911	129843047	"CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N=NC3=C(N(N=C3C)C(=O)C4=C(N(N=C4)C5=CC=C(C=C5)S(=O)(=O)N)N)C"	"CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N=NC3=C(N(N=C3C)C(=O)C4=C(N(N=C4)C5=CC=C(C=C5)S(=O)(=O)N)N)C"
907	18539716	"C1=CC(=C(C=C1O)O)C=CCO"	"C1=CC(=C(C=C1O)O)/C=C/CO"
905	68417694	"CC1CCCCC(C1CCCCCCC(C(=O)O)C(=O)O)CCCCCCC(C(=O)O)C(=O)O"	"CC1CCCCC(C1CCCCCCC(C(=O)O)C(=O)O)CCCCCCC(C(=O)O)C(=O)O"
904	102022915	"CC(C=CC1C2(CC(C(C1(CO2)C)OC3C(C(C(C(O3)CO)O)O)O)OC4C(C(C(C(O4)CO)O)O)O)C)O"	"C[C@H](/C=C/[C@H]1[C@]2(C[C@H]([C@@H]([C@@]1(CO2)C)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)C)O"
