Lipids and lipid-like molecules	Benzenoids	Hydrocarbons	Organic 1,3-dipolar compounds	Polycyclic hydrocarbons	Hydrocarbon derivatives	Saturated hydrocarbons	Unsaturated hydrocarbons	Unsaturated aliphatic hydrocarbons	Aromatic hydrocarbons	Phenylpropanoids and polyketides	Organic acids and derivatives	Organic oxygen compounds	Branched unsaturated hydrocarbons	1-hydroxy-2-unsubstituted benzenoids	1-hydroxy-4-unsubstituted benzenoids	1-hydroxylamino, 2-unsubstituted benzenoids	1-hydroxylamino, 4-unsubstituted benzenoids	1,4-dihydroxy-2-halobenzenoids	Organic nitrogen compounds	Nucleosides, nucleotides, and analogues	Organoheterocyclic compounds	Organophosphorus compounds	Organosulfur compounds	Lignans, neolignans and related compounds	Chemical entities
2.1595154248643667E-4	0.07965270429849625	1.1707651538017672E-5	0.18537022173404694	2.0868477804469876E-5	0.9999710917472839	1.1449094017734751E-4	6.855996161903022E-6	5.637164940708317E-5	1.2024601119264844E-6	3.983251517638564E-4	0.598249077796936	0.9999703764915466	3.603443838073872E-5	0.003100728616118431	0.0016408535884693265	9.724584379000589E-5	1.183442072942853E-4	1.508293394181237E-6	0.9999139904975891	1.948025237652473E-5	0.49659374356269836	0.4576401710510254	5.841913662152365E-5	2.1726680643041618E-5	848
0.00129858055151999	0.026088539510965347	1.583476405357942E-4	0.011360726319253445	4.986449857824482E-5	0.9998155832290649	5.400421796366572E-4	1.5783535491209477E-4	0.0011296626180410385	1.389196313539287E-6	6.078829173929989E-4	0.27632051706314087	0.9892516732215881	4.889967385679483E-4	0.001227902714163065	7.523192907683551E-4	4.331500349508133E-6	5.3201583796180785E-6	4.08608957513934E-6	0.010020703077316284	1.1403701591916615E-6	0.37585562467575073	0.1782010942697525	0.6842681169509888	9.758389751368668E-6	837
3.1322622089646757E-4	0.13867996633052826	3.0248702387325466E-5	0.13523399829864502	3.7060657632537186E-5	0.9999796748161316	9.469773794990033E-5	3.555917282938026E-5	1.1277244630036876E-4	9.465410585107747E-6	0.0017098075477406383	0.33272087574005127	0.9999953508377075	1.2920485460199416E-4	0.01979069411754608	0.012376214377582073	4.632270138245076E-4	4.16323309764266E-4	6.995341664151056E-6	0.9999942779541016	2.196652530983556E-5	0.7243255972862244	2.2609667212236673E-4	0.5436617732048035	2.9854987587896176E-5	1565
1.7655862029641867E-4	0.030821150168776512	3.465289046289399E-5	0.07516707479953766	1.6351552403648384E-5	0.999906599521637	2.4265421961899847E-4	1.5134642126213294E-5	8.863708353601396E-5	1.1051644150938955E-6	4.0099569014273584E-4	0.3377247452735901	0.9999806880950928	1.2775913637597114E-4	5.885313730686903E-4	3.506832290440798E-4	4.643381544156E-5	5.499120379681699E-5	3.5855346141033806E-6	0.999994695186615	2.7031381250708364E-5	0.34831276535987854	2.0345990196801722E-4	0.8689196705818176	4.657804765884066E-6	845
2.6330308173783123E-4	0.08726028352975845	1.703917769191321E-5	0.6757574677467346	1.0841551556950435E-5	0.9999558925628662	8.213234104914591E-5	7.37090886104852E-6	6.33255040156655E-5	5.898656354474952E-7	5.910642212256789E-4	0.8256517052650452	0.9999997615814209	3.716769424499944E-5	8.860431262291968E-4	4.762318858411163E-4	3.2707586069591343E-4	4.000941989943385E-4	1.4070390079723438E-6	0.9999556541442871	1.5629408153472468E-5	0.14960996806621552	0.6224052906036377	2.3024088295642287E-4	3.881218799506314E-5	799
4.772375978063792E-4	0.01381732989102602	2.5878276574076153E-5	0.041671935468912125	5.249532023299253E-6	0.9999830722808838	4.9384208978153765E-5	1.403507667419035E-5	3.16981750074774E-5	7.257384737613393E-8	2.6234029792249203E-4	0.5961164236068726	0.9999997019767761	4.029327828902751E-5	0.0014100105036050081	9.69036715105176E-4	2.3298295855056494E-4	2.3064653214532882E-4	1.1491606528579723E-5	0.9999962449073792	2.2754977180738933E-5	0.2383590191602707	2.6458280626684427E-4	0.7753702402114868	1.1625444358287496E-6	764
3.8268661592155695E-4	0.04263649508357048	1.9556444385671057E-5	0.1562892198562622	1.7537246094434522E-5	0.9999532103538513	1.2172631249995902E-4	2.0696701540146023E-5	1.8013153749052435E-4	1.432393332834181E-6	6.331971380859613E-4	0.35547780990600586	0.9997251033782959	2.65945476712659E-4	0.004197313450276852	0.002806060714647174	3.4690816391957924E-5	2.9079157684464008E-5	2.514295374567155E-6	0.9998303651809692	3.8752463296987116E-5	0.5454904437065125	6.284810951910913E-4	0.5420624017715454	9.347192644781899E-6	597
0.019503196701407433	0.004342956468462944	3.367870158399455E-5	0.023084837943315506	7.381063369393814E-6	0.999792754650116	1.3054822920821607E-4	1.891432111733593E-5	9.698425128590316E-5	2.2635299856688107E-8	0.0012005846947431564	0.7099335193634033	0.9999049305915833	2.2064099539420567E-5	2.923200954683125E-4	2.673717972356826E-4	5.912089909543283E-5	7.332750828936696E-5	2.0647592464229092E-5	4.6063080662861466E-4	1.564984631841071E-5	0.2612517774105072	0.011075061745941639	1.253318478120491E-4	4.150159838900436E-6	637
0.0031519168987870216	0.013559478335082531	7.891293535067234E-6	0.05924917384982109	2.5530071070534177E-6	0.9998646378517151	1.803401937650051E-5	9.254279575543478E-6	8.509092003805563E-5	4.93979470661543E-8	3.010439104400575E-4	0.4978388845920563	0.9993161559104919	3.8484795368276536E-5	0.003158479928970337	0.0011624377220869064	2.612691059766803E-5	2.6589395929477178E-5	1.454516109333781E-6	0.9998699426651001	1.0411490620754194E-5	0.19501034915447235	0.001776418648660183	7.911507418612018E-5	5.556410542340018E-6	134
3.346625017002225E-4	0.04959791526198387	1.0705028216762003E-5	0.023924846202135086	1.2996599252801389E-5	0.9999723434448242	3.201509025529958E-5	1.0089620445796754E-5	8.006067218957469E-5	1.7756079842001782E-6	8.717537275515497E-4	0.29462769627571106	0.9971874356269836	1.702580921119079E-4	8.797986665740609E-4	7.838468300178647E-4	8.085272856988013E-4	7.625546422787011E-4	2.593516796878248E-7	0.9999927282333374	1.095460720534902E-5	0.5799692869186401	4.15919377701357E-4	0.7459845542907715	3.922577434423147E-6	803
