sharedname	SMARTS	complementary
Frag_1843	[!#1][CH2][CH2]N([!#1])[CH3]	
Frag_1846	[!#1][CH2][CH2]N([CH2][!#1])[CH2][!#1]	
Frag_1848	[!#1][CH2][CH2]N([CH2][CH3])[CH2][CH3]	
Frag_1850	[!#1][CH2][CH2]N([CH3])[CH3]	
Frag_1852	[!#1][CH2][CH2]O[!#1]	
Frag_1855	[!#1][CH2][CH2]OC(=O)[!#1]	
Frag_1861	[!#1][CH2][CH2]S(=O)(=O)[!#1]	
Frag_1865	[!#1][CH2][CH2]S(=O)[!#1]	
Frag_1866	[!#1][CH2][CH2]S[!#1]	
Frag_1875	[!#1][CH2][NH][!#1]	
Frag_1884	[!#1][CH2][NH][CH2][!#1]	
Frag_1888	[!#1][CH2][NH]C(=O)[!#1]	
Frag_1889	[!#1][CH2][NH]C(=O)[CH]([!#1])[CH2][!#1]	
Frag_1891	[!#1][CH2][NH]C(=O)[CH2][!#1]	
Frag_1894	[!#1][CH2][NH]C(=O)[CH2]O[!#1]	
Frag_1901	[!#1][CH2][NH2]	
Frag_1902	[!#1][CH2][OH]	
Frag_1912	[!#1][CH2]C(=O)[!#1]	
Frag_1914	[!#1][CH2]C(=O)[NH][!#1]	
Frag_1916	[!#1][CH2]C(=O)[NH][CH]([!#1])C(=O)[NH][!#1]	
Frag_1921	[!#1][CH2]C(=O)[NH][CH2][CH2][OH]	
Frag_1955	[!#1][CH2]C(=O)[NH2]	
Frag_1956	[!#1][CH2]C(=O)[OH]	
Frag_1965	[!#1][CH2]C(=O)O[!#1]	
Frag_1968	[!#1][CH2]C(=O)O[CH2][CH3]	
Frag_1970	[!#1][CH2]C(=O)O[CH3]	
Frag_1974	[!#1][CH2]c1[cH][cH][cH][cH][cH]1	
Frag_1990	[!#1][CH2]c1[cH][cH]c([!#1])[cH][cH]1	
Frag_1996	[!#1][CH2]c1[cH][cH]c(Cl)[cH][cH]1	
Frag_2000	[!#1][CH2]c1[cH][cH]c(O[!#1])[cH][cH]1	
Frag_2001	[!#1][CH2]c1[cH][cH]c(O[!#1])c(O[!#1])[cH]1	
Frag_2004	[!#1][CH2]c1[cH][cH]c2O[CH2]Oc2[cH]1	
Frag_2007	[!#1][CH2]c1[cH][nH]c2[cH][cH][cH][cH]c12	
Frag_2012	[!#1][CH2]Cl	
Frag_2013	[!#1][CH2]N([!#1])[CH2][!#1]	
Frag_2015	[!#1][CH2]N([!#1])[CH2][CH3]	
Frag_2016	[!#1][CH2]N([!#1])[CH3]	
Frag_2018	[!#1][CH2]N([!#1])C(=O)[!#1]	
Frag_2020	[!#1][CH2]N([!#1])C(=O)[CH2]O[!#1]	
Frag_2029	[!#1][CH2]N([CH2][!#1])C(=O)[!#1]	
Frag_2030	[!#1][CH2]N([CH2][!#1])C(=O)[NH][!#1]	
Frag_2035	[!#1][CH2]N([CH2][CH3])[CH2][CH3]	
Frag_2037	[!#1][CH2]N([CH3])[CH3]	
Frag_2046	[!#1][CH2]N1[CH2][CH2][CH]([!#1])[CH2][CH2]1	
Frag_2055	[!#1][CH2]O[!#1]	
Frag_2056	[!#1][CH2]O[CH2][!#1]	
Frag_2061	[!#1][CH2]OC([!#1])([!#1])[!#1]	
Frag_2062	[!#1][CH2]OC(=O)[!#1]	
Frag_2066	[!#1][CH2]OC(=O)[CH3]	
Frag_2067	[!#1][CH2]OC(=O)[NH][!#1]	
Frag_2071	[!#1][CH2]S(=O)(=O)[!#1]	
Frag_2073	[!#1][CH2]S[!#1]	
Frag_2085	[!#1][NH][!#1]	
Frag_2086	[!#1][NH][CH]([!#1])[!#1]	
Frag_2087	[!#1][NH][CH]([!#1])[CH]([CH3])[CH3]	
Frag_2088	[!#1][NH][CH]([!#1])[CH2][CH]([!#1])[CH3]	
Frag_2090	[!#1][NH][CH]([!#1])[CH2]C(=O)[!#1]	
Frag_2091	[!#1][NH][CH]([!#1])[CH3]	
Frag_2098	[!#1][NH][CH]([CH2][CH]([CH3])[CH3])C(=O)[!#1]	
Frag_2101	[!#1][NH][CH]([CH2][CH2]S[CH3])C(=O)[OH]	
Frag_2105	[!#1][NH][CH]([CH2]c1[cH][cH][cH][cH][cH]1)C(=O)[!#1]	
Frag_2106	[!#1][NH][CH]([CH2]c1[cH][cH][cH][cH][cH]1)C(=O)[OH]	
Frag_2107	[!#1][NH][CH]([CH2]c1[cH][cH]c([OH])[cH][cH]1)C(=O)[!#1]	
Frag_2108	[!#1][NH][CH]([CH2]c1[cH][nH]c2[cH][cH][cH][cH]c12)C(=O)[!#1]	
Frag_2109	[!#1][NH][CH]([CH2]c1[cH][nH]c2[cH][cH][cH][cH]c12)C(=O)[OH]	
Frag_2114	[!#1][NH][CH]([CH3])[CH3]	
Frag_2115	[!#1][NH][CH]([CH3])C(=O)[!#1]	
Frag_2160	[!#1][NH][CH]1[CH2][CH2][CH2][CH2][CH2]1	
Frag_2166	[!#1][NH][CH2][CH]([!#1])[!#1]	
Frag_2169	[!#1][NH][CH2][CH]([OH])[CH2]O[!#1]	
Frag_2184	[!#1][NH][CH2][CH2][OH]	
Frag_2186	[!#1][NH][CH2][CH2]C(=O)[!#1]	
Frag_2195	[!#1][NH][CH2][CH2]S(=O)(=O)[OH]	
Frag_2196	[!#1][NH][CH2][CH3]	
Frag_2198	[!#1][NH][CH2]C(=O)[!#1]	
Frag_2199	[!#1][NH][CH2]C(=O)[NH][!#1]	
Frag_2205	[!#1][NH][CH2]C(=O)[OH]	
Frag_2218	[!#1][NH][CH3]	
Frag_2229	[!#1][NH]C([!#1])([!#1])[!#1]	
Frag_2247	[!#1][NH]C(=O)[!#1]	
Frag_2248	[!#1][NH]C(=O)[CH]([!#1])[!#1]	
Frag_2249	[!#1][NH]C(=O)[CH]([!#1])[CH]([CH3])[CH3]	
Frag_2250	[!#1][NH]C(=O)[CH]([!#1])[CH3]	
Frag_2256	[!#1][NH]C(=O)[CH]([CH3])[NH]C(=O)[!#1]	
Frag_2260	[!#1][NH]C(=O)[CH]=[CH][!#1]	
Frag_2294	[!#1][NH]C(=O)[CH2]O[!#1]	
Frag_2298	[!#1][NH]C(=O)[CH3]	
Frag_2299	[!#1][NH]C(=O)[NH][!#1]	
Frag_2314	[!#1][NH]C(=O)[NH]S(=O)(=O)[!#1]	
Frag_2332	[!#1][NH]C(=O)O[!#1]	
Frag_2344	[!#1][NH]C(=S)[!#1]	
Frag_2380	[!#1][NH]c1[cH][cH][cH][cH][cH]1	
Frag_2513	[!#1][NH]c1nc([!#1])nc([!#1])n1	
Frag_2547	[!#1][NH]S(=O)(=O)[!#1]	
Frag_2555	[!#1][O-]	
Frag_2562	[!#1]C([!#1])([!#1])[!#1]	
Frag_2564	[!#1]C([!#1])([!#1])[CH3]	
Frag_2565	[!#1]C([!#1])([!#1])[OH]	
Frag_2566	[!#1]C([!#1])([!#1])c1[cH][cH][cH][cH][cH]1	
Frag_2568	[!#1]C([!#1])([CH3])[CH3]	
Frag_2569	[!#1]C([!#1])([CH3])[OH]	
Frag_2581	[!#1]C([CH3])([CH3])[CH3]	
Frag_2601	[!#1]C(=O)[!#1]	
Frag_2620	[!#1]C(=O)[CH2][CH]([CH3])[CH3]	
Frag_2626	[!#1]C(=O)[CH2][CH2][CH2][CH2][CH3]	
Frag_2636	[!#1]C(=O)[CH2][CH2]C(=O)[!#1]	
Frag_2644	[!#1]C(=O)[CH2][CH3]	
Frag_2648	[!#1]C(=O)[CH2][NH]C(=O)[!#1]	
Frag_2649	[!#1]C(=O)[CH2][NH2]	
Frag_2660	[!#1]C(=O)[CH2]Cl	
Frag_2664	[!#1]C(=O)[CH2]OC(=O)[!#1]	
Frag_2671	[!#1]C(=O)[CH3]	
Frag_2672	[!#1]C(=O)[NH][CH]([CH]([CH3])[CH3])C(=O)[OH]	
Frag_2697	[!#1]C(=O)[NH][CH2][CH2][OH]	
Frag_2703	[!#1]C(=O)[NH][CH2]C(=O)[OH]	
Frag_2707	[!#1]C(=O)[NH][CH3]	
Frag_2723	[!#1]C(=O)[NH]c1[cH][cH][cH][cH][cH]1	
Frag_2812	[!#1]C(=O)[NH]S(=O)(=O)[!#1]	
Frag_2813	[!#1]C(=O)[NH2]	
Frag_2815	[!#1]C(=O)C([!#1])([!#1])[CH3]	
Frag_2816	[!#1]C(=O)C([!#1])([!#1])[OH]	
Frag_2818	[!#1]C(=O)C([!#1])([!#1])C(=O)[!#1]	
Frag_2834	[!#1]C(=O)c1[cH][cH][cH][cH][cH]1	
Frag_2835	[!#1]C(=O)c1[cH][cH][cH][cH]c1[!#1]	
Frag_2838	[!#1]C(=O)c1[cH][cH][cH][cH]c1[OH]	
Frag_2840	[!#1]C(=O)c1[cH][cH][cH][cH]c1C(=O)[!#1]	
Frag_2856	[!#1]C(=O)c1[cH][cH][cH]n[cH]1	
Frag_2860	[!#1]C(=O)c1[cH][cH]c([!#1])[cH][cH]1	
Frag_2871	[!#1]C(=O)c1[cH][cH]c([OH])[cH][cH]1	
Frag_2875	[!#1]C(=O)c1[cH][cH]c(Cl)[cH][cH]1	
Frag_2879	[!#1]C(=O)c1[cH][cH]c(F)[cH][cH]1	
Frag_2908	[!#1]C(=O)N([CH3])[CH3]	
Frag_2916	[!#1]C(=O)O[CH]([CH3])[CH3]	
Frag_2928	[!#1]C(=O)O[CH2][CH3]	
Frag_2932	[!#1]C(=O)O[CH3]	
Frag_2933	[!#1]C(=O)OC([CH3])([CH3])[CH3]	
Frag_2972	[!#1]c1[cH][cH][cH][cH][cH]1	
Frag_2974	[!#1]c1[cH][cH][cH][cH]c1[!#1]	
Frag_2979	[!#1]c1[cH][cH][cH][cH]c1[OH]	
Frag_2996	[!#1]c1[cH][cH][cH][cH]c1O[CH3]	
Frag_2997	[!#1]c1[cH][cH][cH][cH]n1	
Frag_3000	[!#1]c1[cH][cH][cH]c([!#1])c1[!#1]	
Frag_3008	[!#1]c1[cH][cH][cH]c([cH]1)C(F)(F)F	
Frag_3030	[!#1]c1[cH][cH][cH]c2[cH][cH][cH][cH]c12	
Frag_3041	[!#1]c1[cH][cH][cH]n[cH]1	
Frag_3045	[!#1]c1[cH][cH][cH]o1	
Frag_3046	[!#1]c1[cH][cH][cH]s1	
Frag_3050	[!#1]c1[cH][cH]c([!#1])[cH][cH]1	
Frag_3053	[!#1]c1[cH][cH]c([!#1])c([!#1])[cH]1	
Frag_3054	[!#1]c1[cH][cH]c([!#1])c([!#1])c1[!#1]	
Frag_3061	[!#1]c1[cH][cH]c([!#1])c([OH])[cH]1	
Frag_3062	[!#1]c1[cH][cH]c([!#1])c(Cl)[cH]1	
Frag_3063	[!#1]c1[cH][cH]c([!#1])c2[cH][cH][cH][cH]c12	
Frag_3067	[!#1]c1[cH][cH]c([!#1])n[cH]1	
Frag_3132	[!#1]c1[cH][cH]c([cH][cH]1)S(=O)(=O)[!#1]	
Frag_3175	[!#1]c1[cH][cH]c([NH2])[cH][cH]1	
Frag_3177	[!#1]c1[cH][cH]c([OH])[cH][cH]1	
Frag_3179	[!#1]c1[cH][cH]c([OH])c([!#1])[cH]1	
Frag_3181	[!#1]c1[cH][cH]c([OH])c([OH])[cH]1	
Frag_3194	[!#1]c1[cH][cH]c(Cl)[cH][cH]1	
Frag_3195	[!#1]c1[cH][cH]c(Cl)[cH]c1[!#1]	
Frag_3199	[!#1]c1[cH][cH]c(Cl)[cH]c1Cl	
Frag_3206	[!#1]c1[cH][cH]c(F)[cH][cH]1	
Frag_3219	[!#1]c1[cH][cH]c(O[CH3])[cH][cH]1	
Frag_3224	[!#1]c1[cH][cH]c(O[CH3])c(O[CH3])[cH]1	
Frag_3255	[!#1]c1[cH][cH]c2c([!#1])[cH]c(=O)oc2[cH]1	
Frag_3303	[!#1]c1[cH][cH]c2O[CH2]Oc2[cH]1	
Frag_3323	[!#1]c1[cH][cH]o[cH]1	
Frag_3328	[!#1]c1[cH][nH]c2[cH][cH][cH][cH]c12	
Frag_3330	[!#1]c1[cH][nH]c2[cH][cH]c([!#1])[cH]c12	
Frag_3339	[!#1]c1[cH]c([!#1])c([!#1])[cH]c1[!#1]	
Frag_3340	[!#1]c1[cH]c([!#1])c([!#1])c([!#1])[cH]1	
Frag_3341	[!#1]c1[cH]c([!#1])c([!#1])c([!#1])c1[!#1]	
Frag_3355	[!#1]c1[cH]c([!#1])nc([!#1])n1	
Frag_3397	[!#1]c1[cH]c(Cl)c([!#1])c(Cl)[cH]1	
Frag_3407	[!#1]c1[cH]c(O[CH3])c(O[CH3])[cH]c1[!#1]	
Frag_3408	[!#1]c1[cH]c(O[CH3])c(O[CH3])c(O[CH3])[cH]1	
Frag_3420	[!#1]c1[cH]c2O[CH2]Oc2[cH]c1[!#1]	
Frag_3421	[!#1]c1[cH]n([!#1])c2[cH][cH][cH][cH]c12	
Frag_3442	[!#1]c1[cH]sc([!#1])n1	
Frag_3445	[!#1]c1[nH]c([!#1])c([!#1])c1[!#1]	
Frag_3446	[!#1]c1[nH]c2[cH][cH][cH][cH]c2c1[!#1]	
Frag_3474	[!#1]c1c([!#1])c([!#1])c([!#1])c([!#1])c1[!#1]	
Frag_3490	[!#1]c1c([CH3])[cH][cH][cH]c1[CH3]	
Frag_3540	[!#1]c1n[cH][nH]c1[!#1]	
Frag_3543	[!#1]c1n[cH]n([!#1])c1[!#1]	
Frag_3545	[!#1]c1n[cH]nc([!#1])c1[!#1]	
Frag_3557	[!#1]c1nc([!#1])c([!#1])[nH]1	
Frag_3558	[!#1]c1nc([!#1])c([!#1])c([!#1])n1	
Frag_3559	[!#1]c1nc([!#1])c([!#1])s1	
Frag_3563	[!#1]c1nc([!#1])nc([!#1])n1	
Frag_3604	[!#1]c1nc2[cH][cH]c([!#1])[cH]c2[nH]1	
Frag_3620	[!#1]c1nn([!#1])c([!#1])c1[!#1]	
Frag_3668	[!#1]F	
Frag_3670	[!#1]N([!#1])[!#1]	
Frag_3672	[!#1]N([!#1])[CH3]	
Frag_3673	[!#1]N([!#1])C(=O)[!#1]	
Frag_3675	[!#1]N([!#1])c1[cH][cH][cH][cH][cH]1	
Frag_3696	[!#1]N([CH2][CH3])[CH2][CH3]	
Frag_3714	[!#1]N([CH3])[CH3]	
Frag_3716	[!#1]N([CH3])C(=O)[!#1]	
Frag_3799	[!#1]n1[cH][cH]c(=O)[nH]c1=O	
Frag_3801	[!#1]n1[cH][cH]n[cH]1	
Frag_3806	[!#1]n1[cH]n[cH]n1	
Frag_3818	[!#1]N1[CH2][CH2][CH2][CH]1C(=O)[OH]	
Frag_3822	[!#1]N1[CH2][CH2][CH2][CH2]1	
Frag_3827	[!#1]N1[CH2][CH2][NH][CH2][CH2]1	
Frag_3836	[!#1]N1[CH2][CH2]N([!#1])[CH2][CH2]1	
Frag_3852	[!#1]N1[CH2][CH2]N([CH3])[CH2][CH2]1	
Frag_3856	[!#1]N1[CH2][CH2]O[CH2][CH2]1	
Frag_3955	[!#1]O[!#1]	
Frag_3956	[!#1]O[CH]([!#1])[!#1]	
Frag_3958	[!#1]O[CH]([CH3])[CH3]	
Frag_3972	[!#1]O[CH2][CH]([!#1])[!#1]	
Frag_3994	[!#1]O[CH2][CH2][NH2]	
Frag_4000	[!#1]O[CH2][CH2]O[!#1]	
Frag_4003	[!#1]O[CH2][CH3]	
Frag_4006	[!#1]O[CH2]C(=O)[!#1]	
Frag_4074	[!#1]O[CH2]c1[cH][cH][cH][cH][cH]1	
Frag_4075	[!#1]O[CH3]	
Frag_4076	[!#1]OC([!#1])([!#1])C(=O)[!#1]	
Frag_4083	[!#1]OC(=O)[CH]=[CH][!#1]	
Frag_4084	[!#1]OC(=O)[CH]=[CH]c1[cH][cH][cH][cH][cH]1	
Frag_4088	[!#1]OC(=O)[CH2][CH3]	
Frag_4090	[!#1]OC(=O)[CH3]	
Frag_4091	[!#1]OC(=O)[NH][CH3]	
Frag_4102	[!#1]Oc1[cH][cH][cH][cH][cH]1	
Frag_4119	[!#1]Oc1[cH][cH]c([!#1])[cH][cH]1	
Frag_4120	[!#1]Oc1[cH][cH]c([!#1])[cH]c1[!#1]	
Frag_4122	[!#1]Oc1[cH][cH]c([!#1])[cH]c1O[!#1]	
Frag_4129	[!#1]Oc1[cH][cH]c([cH][cH]1)C(=O)[!#1]	
Frag_4168	[!#1]Oc1[cH]c([cH][cH]c1[!#1])[CH]([!#1])[!#1]	
Frag_4180	[!#1]OP(=O)(O[!#1])O[!#1]	
Frag_4181	[!#1]OS(=O)(=O)[!#1]	
Frag_4185	[!#1]OS(=O)(=O)[OH]	
Frag_4204	[!#1]S(=O)(=O)[CH3]	
Frag_4223	[!#1]S(=O)(=O)[NH2]	
Frag_4224	[!#1]S(=O)(=O)[OH]	
Frag_4241	[!#1]S(=O)(=O)c1[cH][cH]c([CH3])[cH][cH]1	
Frag_4263	[!#1]S[!#1]	
Frag_4264	[!#1]S[CH]([!#1])[!#1]	
Frag_4276	[!#1]S[CH2][CH3]	
Frag_4284	[!#1]S[CH3]	
Frag_4290	[!#1]SC(=O)[!#1]	
Frag_4294	[!#1]S(c1[cH][cH]c([!#1])[cH][cH]1)	([!#1]Sc1[cH][cH]c([!#1])[cH][cH]1)
Frag_4333	[O-][N+](=O)c1cccc(c1)[N+](=O)[O-]	
Frag_4342	[O-][N+](=O)c1ccccc1	
Frag_4377	Brc1ccccc1	
Frag_4387	C(c1ccccc1)c2ccccc2	
Frag_4389	C(Cc1ccccc1)c2ccccc2	
Frag_4391	C(NCc1ccccc1)c2ccccc2	
Frag_4396	C=C(NC=O)C=O	
Frag_4418	C=CC=O	
Frag_4421	C=N	
Frag_4442	c1c[nH]cn1	
Frag_4448	C1C2CC3CC1CC(C2)C3	
Frag_4450	C1C2CCCCC12	
Frag_4457	C1CC(CCN1)c2ccccc2	
Frag_4458	C1CC(CN1)c2ccccc2	
Frag_4462	c1cc[nH]c1	
Frag_4466	C1CC1	
Frag_4472	C1Cc2c([nH]c3ccccc23)C(N1)c4ccccc4	
Frag_4474	C1Cc2c(CN1)[nH]c3ccccc23	
Frag_4484	C1CC2CCCC1N2	
Frag_4486	c1cc2ccccc2[nH]1	
Frag_4489	C1Cc2ccccc2CN1	
Frag_4490	C1Cc2ccccc2N1	
Frag_4493	c1cc2ccccc2o1	
Frag_4512	C1CCC(CC1)c2ccccc2	
Frag_4513	c1ccc(cc1)c2ccccn2	
Frag_4528	C1CCC=CC1	
Frag_4547	c1ccc2ccccc2c1	
Frag_4551	c1ccc2ncccc2c1	
Frag_4553	c1ccc2ncncc2c1	
Frag_4559	C1CCCCCC1	
Frag_4560	C1CCCCCCC1	
Frag_4564	C1CCNC1	
Frag_4565	C1CCNCC1	
Frag_4567	c1ccoc1	
Frag_4568	C1CCOCC1	
Frag_4569	c1ccsc1	
Frag_4571	C1CN(CCN1)c2ccccc2	
Frag_4579	C1CN2CCC1CC2	
Frag_4587	C1CNCCN1	
Frag_4588	c1cncnc1	
Frag_4593	C1COC(C1)n2cnc3cncnc23	
Frag_4599	C1COCCN1	
Frag_4608	c1cscn1	
Frag_4614	c1nc2ccccc2[nH]1	
Frag_4621	c1nc2ncncc2[nH]1	
Frag_4632	CC	
Frag_4636	CC(=C)C(=O)N	
Frag_4676	CC(=O)C	
Frag_4689	CC(=O)c1ccc(O)cc1	
Frag_4691	CC(=O)c1ccccc1	
Frag_4693	CC(=O)c1ccccc1O	
Frag_4697	CC(=O)CC(=O)N	
Frag_4699	CC(=O)CC=O	
Frag_4701	CC(=O)CO	
Frag_4703	CC(=O)N	
Frag_4710	CC(=O)NCC(=O)N	
Frag_4734	CC(=O)NO	
Frag_4736	CC(=O)O	
Frag_4739	CC(=O)OCC=O	
Frag_4745	CC(C)(C)C(=O)N	
Frag_4747	CC(C)(C)C=O	
Frag_4757	CC(C)(C)c1ccccc1	
Frag_4759	CC(C)(C)CC=C	
Frag_4761	CC(C)(C)N	
Frag_4763	CC(C)(C)NC=O	
Frag_4768	CC(C)(C)O	
Frag_4769	CC(C)(C)OC=O	
Frag_4774	CC(C)(CCC=O)C=O	
Frag_4776	CC(C)(O)C#C	
Frag_4777	CC(C)C	
Frag_4779	CC(C)C(N)C(=O)O	
Frag_4781	CC(C)C(NC=O)C(=O)O	
Frag_4783	CC(C)C=O	
Frag_4788	CC(C)C1CCC(C)CC1O	
Frag_4789	CC(C)c1ccc(O)cc1	
Frag_4790	CC(C)c1ccccc1	
Frag_4793	CC(C)CC(=O)N	
Frag_4795	CC(C)CC(=O)O	
Frag_4796	CC(C)CC(C)(C)C	
Frag_4797	CC(C)CC(C)O	
Frag_4798	CC(C)CC=O	
Frag_4800	CC(C)CCC(=O)O	
Frag_4801	CC(C)CCC=O	
Frag_4802	CC(C)CCCC(C)C	
Frag_4803	CC(C)CCO	
Frag_4804	CC(C)CN	
Frag_4806	CC(C)CNC=O	
Frag_4807	CC(C)CO	
Frag_4808	CC(C)COC=O	
Frag_4810	CC(C)N	
Frag_4812	CC(C)NC=O	
Frag_4813	CC(C)NCC(=O)N	
Frag_4814	CC(C)NCC(O)CO	
Frag_4816	CC(C)O	
Frag_4817	CC(C)OC(=O)N	
Frag_4818	CC(C)OC=O	
Frag_4822	CC(N)C(=O)O	
Frag_4823	CC(N)c1ccccc1	
Frag_4824	CC(NC(=O)CO)C(=O)O	
Frag_4826	CC(NC=O)C(=O)N	
Frag_4827	CC(NC=O)C(=O)O	
Frag_4833	CC(O)C(=O)O	
Frag_4835	CC(O)C(O)C(O)C(O)CO	
Frag_4836	CC(O)C(O)C(O)CO	
Frag_4838	CC(O)c1ccccc1	
Frag_4841	CC(O)CCl	
Frag_4842	CC(O)CN	
Frag_4843	CC(O)CN(C)C	
Frag_4844	CC(O)CO	
Frag_4848	CC=C	
Frag_4849	CC=CC(=O)C	
Frag_4850	CC=CC(=O)N	
Frag_4863	CC=O	
Frag_4875	CC1(C)CC1	
Frag_4876	CC1(C)CC1C=O	
Frag_4882	CC1(O)CCCCC1	
Frag_4886	Cc1[nH]c2ccccc2c1C	
Frag_4898	Cc1c[nH]c2ccccc12	
Frag_4903	Cc1cc(=O)oc2cc(O)ccc12	
Frag_4904	Cc1cc(=O)oc2ccccc12	
Frag_4928	Cc1cc(O)cc(O)c1	
Frag_4931	Cc1cc2ccccc2[nH]1	
Frag_4936	Cc1ccc(C)c(C)c1	
Frag_4937	Cc1ccc(C)cc1	
Frag_4942	Cc1ccc(C=O)cc1	
Frag_4945	Cc1ccc(cc1)C(=O)O	
Frag_4948	Cc1ccc(cc1)c2ccccc2	
Frag_4950	Cc1ccc(cc1)S(=O)(=O)N	
Frag_4951	Cc1ccc(cc1)S(=O)=O	
Frag_4954	Cc1ccc(Cl)cc1	
Frag_4955	Cc1ccc(Cl)cc1Cl	
Frag_4956	Cc1ccc(F)cc1	
Frag_4962	Cc1ccc(O)c(C)c1	
Frag_4967	Cc1ccc(O)c(O)c1	
Frag_4968	Cc1ccc(O)cc1	
Frag_4969	Cc1ccc(O)cc1C	
Frag_4972	Cc1ccc[nH]1	
Frag_4977	Cc1ccc2ccccc2n1	
Frag_4980	Cc1ccc2OCOc2c1	
Frag_4982	Cc1cccc(C)c1	
Frag_4985	Cc1cccc(C)c1NC=O	
Frag_4987	Cc1cccc(C=O)c1	
Frag_4988	Cc1cccc(c1)[N+](=O)[O-]	
Frag_4990	Cc1cccc(c1)C(=O)O	
Frag_4993	Cc1cccc(Cl)c1	
Frag_4999	Cc1cccc(O)c1	
Frag_5000	Cc1cccc2ccccc12	
Frag_5001	CC1CCCCC1	
Frag_5004	Cc1ccccc1C	
Frag_5006	Cc1ccccc1C=O	
Frag_5007	Cc1ccccc1Cl	
Frag_5008	Cc1ccccc1F	
Frag_5010	Cc1ccccc1N	
Frag_5014	Cc1ccccc1O	
Frag_5016	Cc1ccccn1	
Frag_5017	Cc1cccnc1	
Frag_5018	Cc1ccco1	
Frag_5019	Cc1cccs1	
Frag_5026	Cc1ccoc1	
Frag_5033	Cc1cscn1	
Frag_5044	CC1OCCO1	
Frag_5048	CCC	
Frag_5053	CCC(=O)c1ccccc1	
Frag_5054	CCC(=O)CC	
Frag_5055	CCC(=O)N	
Frag_5056	CCC(=O)NC	
Frag_5057	CCC(=O)NC(C)C	
Frag_5062	CCC(=O)O	
Frag_5063	CCC(=O)OC	
Frag_5064	CCC(=O)OCC=O	
Frag_5065	CCC(C)(C)C	
Frag_5066	CCC(C)(C)CC(=O)C	
Frag_5067	CCC(C)C	
Frag_5068	CCC(C)CC	
Frag_5069	CCC(C)N	
Frag_5070	CCC(C)NC=O	
Frag_5073	CCC(CC)Cc1ccccc1	
Frag_5075	CCC(N)C(=O)O	
Frag_5076	CCC=C(C)C	
Frag_5079	CCC=O	
Frag_5082	CCc1c[nH]c2ccc(O)cc12	
Frag_5083	CCc1c[nH]c2ccccc12	
Frag_5084	CCC1CC1	
Frag_5085	CCc1cc2c(=O)ccoc2cc1O	
Frag_5088	CCc1ccc(O)c(O)c1	
Frag_5089	CCc1ccc(O)cc1	
Frag_5090	CCc1ccccc1	
Frag_5091	CCC1CCCCN1	
Frag_5100	CCCC	
Frag_5101	CCCC(=O)N	
Frag_5105	CCCC(=O)O	
Frag_5106	CCCC(CCC)C(=O)N	
Frag_5107	CCCC(O)CO	
Frag_5109	CCCC=O	
Frag_5110	CCCc1c[nH]c2ccccc12	
Frag_5111	CCCc1ccc(O)cc1	
Frag_5112	CCCc1ccccc1	
Frag_5114	CCCCC	
Frag_5115	CCCCC(=O)N	
Frag_5116	CCCCC(=O)O	
Frag_5117	CCCCC=O	
Frag_5118	CCCCc1ccccc1	
Frag_5120	CCCCCC	
Frag_5121	CCCCCC(=O)N	
Frag_5124	CCCCCC(=O)O	
Frag_5125	CCCCCC(C)NC=O	
Frag_5126	CCCCCC=O	
Frag_5127	CCCCCCC	
Frag_5129	CCCCCCC=O	
Frag_5130	CCCCCCCC	
Frag_5133	CCCCCCCC=O	
Frag_5134	CCCCCCNC=O	
Frag_5135	CCCCCCO	
Frag_5136	CCCCCCOC=O	
Frag_5137	CCCCCN	
Frag_5138	CCCCCO	
Frag_5139	CCCCCOC=O	
Frag_5140	CCCCl	
Frag_5141	CCCCN	
Frag_5143	CCCCNC=O	
Frag_5145	CCCCO	
Frag_5146	CCCCOC=O	
Frag_5147	CCCCS	
Frag_5148	CCCN	
Frag_5149	CCCN(C)C	
Frag_5150	CCCNC=O	
Frag_5151	CCCNS(=O)=O	
Frag_5152	CCCO	
Frag_5153	CCCOC(=O)CO	
Frag_5154	CCCOC=O	
Frag_5157	CCl	
Frag_5158	CCN	
Frag_5160	CCN(C)CC	
Frag_5161	CCN(C)CC(=O)N	
Frag_5164	CCN(CC)C=O	
Frag_5165	CCN(CC)CC	
Frag_5166	CCN(CC)CC(=O)N	
Frag_5167	CCN(CC)CC(C)O	
Frag_5168	CCN(CC)CC=O	
Frag_5170	CCN(CC)CCCC(C)N	
Frag_5171	CCN(CC)CCN	
Frag_5172	CCN(CC)CCNC=O	
Frag_5173	CCN(CC)CCOC=O	
Frag_5175	CCN(CCO)C=O	
Frag_5176	CCN=C	
Frag_5180	CCN1CCOCC1	
Frag_5183	CCNC(=O)C	
Frag_5185	CCNC(=O)CC	
Frag_5186	CCNC(=O)CO	
Frag_5187	CCNC(=O)N	
Frag_5189	CCNC=O	
Frag_5190	CCNCC	
Frag_5191	CCNCC(=O)N	
Frag_5192	CCNCC(O)CO	
Frag_5193	CCNCC=O	
Frag_5194	CCNCCO	
Frag_5195	CCNS(=O)=O	
Frag_5196	CCO	
Frag_5198	CCOC(=O)C	
Frag_5200	CCOC(=O)C(C)NC(=O)C	
Frag_5201	CCOC(=O)C(C)NC=O	
Frag_5202	CCOC(=O)C=CC	
Frag_5203	CCOC(=O)CC	
Frag_5208	CCOC(=O)CN	
