sharedname	SMARTS	complementary
Frag_334	[R;$(*(@*)(@*)@*);!$([D4R;$(*(@*)(@*)(@*)@*)]);!$([R;$(*(@*)(@*)@*);!$([R2;$(*(@*)(@*)(@*)@*)])]@[R;$(*(@*)(@*)@*);!$([R2;$(*(@*)(@*)(@*)@*)])])]	(Bridged_rings)
Frag_335	[OX2;$([r5]1@C@C@C(O)@C1),$([r6]1@C@C@C(O)@C(O)@C1)]	(Sugar_pattern_1)
Frag_336	[OX2;$([r5]1@C(!@[OX2,NX3,SX2,FX1,ClX1,BrX1,IX1])@C@C@C1),$([r6]1@C(!@[OX2,NX3,SX2,FX1,ClX1,BrX1,IX1])@C@C@C@C1)]	(Sugar_pattern_2)
Frag_338	[OX2;$([r5]1@C(!@[OX2H1])@C@C@C1),$([r6]1@C(!@[OX2H1])@C@C@C@C1)]	(Sugar_pattern_2_reducing)
Frag_341	*=*[*]=,#,:[*]	(Conjugated_double_bond)
Frag_345	[$(*=O),$([#16,#14,#5]),$([#7]([#6]=[OX1]))][#8X2][$(*=O),$([#16,#14,#5]),$([#7]([#6]=[OX1]))]	(Mixed_anhydrides)
Frag_348	[FX1][CX4;!$([H0][Cl,Br,I]);!$([F][C]([F])([F])[F])]([FX1])([FX1])	(Trifluoromethyl)
Frag_354	[$([#7X2,OX1,SX1]=*[!H0;!$([a;!n])]),$([#7X3,OX2,SX2;!H0]*=*),$([#7X3,OX2,SX2;!H0]*:n)]	(1,3-Tautomerizable)
Frag_355	[$([#7X2,OX1,SX1]=,:**=,:*[!H0;!$([a;!n])]),$([#7X3,OX2,SX2;!H0]*=**=*),$([#7X3,OX2,SX2;!H0]*=,:**:n)]	(1,5-Tautomerizable)
Frag_356	[!$(*#*)&!D1]-!@[!$(*#*)&!D1]	(Rotatable_bond)
Frag_359	[$([CX4;!$([H0]);!$(C[!#6;!$([P,S]=O);!$(N(~O)~O)])][$([CX3]=[O,N,S]),$(C#[N]),$([S,P]=[OX1]),$([NX3]=O),$([NX3+](=O)[O-]);!$(*[S,O,N;H1,H2]);!$([*+0][S,O;X1-])]),$([CX4;!$([H0])]1[CX3]=[CX3][CX3]=[CX3]1)]	(CH-acidic)
Frag_361	[$([*@](~*)(~*)(*)*),$([*@H](*)(*)*),$([*@](~*)(*)*),$([*@H](~*)~*)]	(Chiral_center_specified)
Frag_369	[!#6;!#1]1~*~*~*~1	
Frag_372	*1~*~*~*~1	
Frag_377	[!#6;!#1]1~*~*~1	
Frag_380	*1~*~*~*~*~*~*~1	
Frag_383	*1~*~*~1	
Frag_384	[#7]~[#6](~[#8])~[#8]	
Frag_385	[#7]-[#8]	
Frag_386	[#7]~[#6](~[#7])~[#7]	
Frag_387	[#6]=;@[#6](@*)@*	
Frag_388	[I]	
Frag_389	[!#6;!#1]~[CH2]~[!#6;!#1]	
Frag_391	[#6]~[!#6;!#1](~[#6])(~[#6])~*	
Frag_393	[#6]~[#16]~[#7]	
Frag_394	[#7]~[#16]	
Frag_395	[CH2]=*	
Frag_397	[#16R]	
Frag_398	[#7]~[#6](~[#8])~[#7]	
Frag_404	[!C;!c;!#1;!H0]~*~[!C;!c;!#1;!H0]	
Frag_406	[#6]=[#6]~[#7]	
Frag_407	Br	
Frag_408	[#16]~*~[#7]	
Frag_409	[#8]~[!#6;!#1](~[#8])(~[#8])	
Frag_411	[#6]=[#6](~[#6])~[#6]	
Frag_412	[#6]~[#16]~[#8]	
Frag_413	[#7]~[#7]	
Frag_414	[!#6;!#1;!H0]~*~*~*~[!#6;!#1;!H0]	
Frag_415	[!#6;!#1;!H0]~*~*~[!#6;!#1;!H0]	
Frag_416	[#8]~[#16]~[#8]	
Frag_418	[#8R]	
Frag_420	[#16]!:*:*	
Frag_421	[#16]=[#8]	
Frag_423	*@*!@*@*	
Frag_424	[#7]=[#8]	
Frag_425	*@*!@[#16]	
Frag_426	c:n	
Frag_427	[#6]~[#6](~[#6])(~[#6])~*	
Frag_428	[!#6;!#1]~[#16]	
Frag_430	[!#6;!#1]~[!#6;!#1;!H0]	
Frag_431	[!#6;!#1]~[#7]~[!#6;!#1]	
Frag_432	[#7]~[#8]	
Frag_433	[#8]~*~*~[#8]	
Frag_434	[#16]=*	
Frag_435	[CH3]~*~[CH3]	
Frag_436	*!@[#7]@*	
